complaint_id,complaint_text,district,local_body_type,local_body_name,ward,categories,priority_score,assigned_department,status,created_at,updated_at
CMP_00001,Property tax details are incorrect in records. and Water leakage is happening continuously near the bus stand for 14 days. Kindly take necessary action at the earliest.,Malappuram,Grama Panchayath,Karulai,18,"Revenue,Water",60,"KL10_REV,KL10_WAT",Submitted,19-11-2025,19-11-2025
CMP_00002,Building permit application status is not updated for 14 days. and Streetlight is not functioning near the church road for the past 1 days. Requesting immediate intervention from the concerned department.,Palakkad,Municipality,Shoranur,15,"Revenue,Electricity",65,"KL09_REV,KL09_ELE",Resolved,05-05-2025,15-05-2025
CMP_00003,Frequent power cuts are occurring near the bus stand since last 8 days. Senior citizens and children are affected.,Kollam,Grama Panchayath,Thazhava,8,Electricity,64,KL02_ELE,Forwarded,31-12-2025,05-01-2026
CMP_00004,Drainage water is overflowing near market road for 11 days. Please look into this matter urgently.,Ernakulam,Municipality,Muvattupuzha,1,Health,63,KL07_HEA,Forwarded,23-10-2025,26-10-2025
CMP_00005,Electric line is hanging dangerously near the primary health centre. This issue has been reported earlier but no action has been taken.,Kasaragod,Municipality,Kanhangad,14,Electricity,54,KL14_ELE,Resolved,12-05-2025,05-06-2025
CMP_00006,Frequent power cuts are occurring near the government school since last 4 days. Requesting immediate intervention from the concerned department.,Kottayam,Grama Panchayath,Vijayapuram,7,Electricity,62,KL05_ELE,Resolved,23-01-2026,30-01-2026
CMP_00007,Plastic waste is scattered everywhere near the primary health centre. We are facing serious difficulty because of this.,Palakkad,Municipality,Pattambi,15,Waste,47,KL09_WAS,Submitted,28-09-2025,28-09-2025
CMP_00008,There has been no drinking water supply near the church road for the past 14 days. Public safety is at risk.,Wayanad,Grama Panchayath,Edavaka,3,Water,64,KL12_WAT,Resolved,14-02-2026,26-02-2026
CMP_00009,The road surface has completely broken near the primary health centre after recent rains. This issue has been reported earlier but no action has been taken.,Idukki,Municipality,Kattappana,16,Road,45,KL06_ROA,Resolved,03-03-2025,06-03-2025
CMP_00010,Building permit application status is not updated for 3 days. and Garbage accumulation is noticed near the temple junction for more than 11 days. Please look into this matter urgently.,Malappuram,Grama Panchayath,Triprangode,4,"Revenue,Health",58,"KL10_REV,KL10_HEA",Forwarded,05-07-2025,06-07-2025
CMP_00011,Mosquito breeding is increasing due to stagnant water near the church road. Senior citizens and children are affected.,Kozhikode,Corporation,Kozhikode,4,Health,43,KL11_HEA,Forwarded,02-09-2025,07-09-2025
