complaint_id,complaint_text,district,local_body_type,local_body_name,ward,categories,priority_score,assigned_department,status,created_at,updated_at
CMP_00001,"We are facing difficulties in our area and need help. we are not getting proper water supply for the past few days water availability has reduced significantly in our locality Because of this, many families are struggling because of this situation I kindly request the concerned authorities to take necessary action as soon as possible.",Malappuram,Grama Panchayath,Karulai,18,"revenue,water",60,"KL10_REV,KL10_WAT",Submitted,19-11-2025,19-11-2025
CMP_00002,"I would like to report a problem that has been ongoing for some time. we are facing continuous outages without any notice there are frequent power cuts happening throughout the day As a result, many families are struggling because of this situation We hope this issue will be addressed at the earliest.",Palakkad,Municipality,Shoranur,15,"revenue,electricity",65,"KL09_REV,KL09_ELE",Resolved,05-05-2025,15-05-2025
CMP_00003,"We are facing difficulties in our area and need help. we are facing continuous outages without any notice electricity supply is very unreliable in this area Due to this issue, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Kollam,Grama Panchayath,Thazhava,8,electricity,64,KL02_ELE,Forwarded,31-12-2025,05-01-2026
CMP_00004,"We are facing difficulties in our area and need help. Due to this issue, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Ernakulam,Municipality,Muvattupuzha,1,health,63,KL07_HEA,Forwarded,23-10-2025,26-10-2025
CMP_00005,"We are facing difficulties in our area and need help. we are facing continuous outages without any notice voltage fluctuations are damaging our home appliances As a result, it is becoming difficult for residents to manage routine activities Please look into this matter urgently and resolve it.",Kasaragod,Municipality,Kanhangad,14,electricity,54,KL14_ELE,Resolved,12-05-2025,05-06-2025
CMP_00006,"I am writing to bring attention to an issue in our locality. electricity supply is very unreliable in this area there are frequent power cuts happening throughout the day Due to this issue, it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.",Kottayam,Grama Panchayath,Vijayapuram,7,electricity,62,KL05_ELE,Resolved,23-01-2026,30-01-2026
CMP_00007,We are facing difficulties in our area and need help. sanitation services are not working properly the area has become very unhygienic and smells bad This has led to a situation where this is affecting health and safety of the people Please look into this matter urgently and resolve it.,Palakkad,Municipality,Pattambi,15,waste,47,KL09_WAS,Submitted,28-09-2025,28-09-2025
CMP_00008,"We are facing difficulties in our area and need help. sometimes there is no water at all during important hours residents are struggling to manage daily household activities As a result, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Wayanad,Grama Panchayath,Edavaka,3,water,64,KL12_WAT,Resolved,14-02-2026,26-02-2026
CMP_00009,"I am writing to bring attention to an issue in our locality. many parts of the street are broken and causing trouble for vehicles the situation has become worse especially during rainy days Due to this issue, it is becoming difficult for residents to manage routine activities Please look into this matter urgently and resolve it.",Idukki,Municipality,Kattappana,16,road,45,KL06_ROA,Resolved,03-03-2025,06-03-2025
CMP_00010,"This complaint is regarding a serious problem we are facing. Due to this issue, many families are struggling because of this situation Immediate action would be highly appreciated.",Malappuram,Grama Panchayath,Triprangode,4,"revenue,health",58,"KL10_REV,KL10_HEA",Forwarded,05-07-2025,06-07-2025
CMP_00011,"I would like to report a problem that has been ongoing for some time. Due to this issue, people are facing a lot of inconvenience in daily life Please look into this matter urgently and resolve it.",Kozhikode,Corporation,Kozhikode,4,health,43,KL11_HEA,Forwarded,02-09-2025,07-09-2025
CMP_00012,"I am writing to bring attention to an issue in our locality. sanitation services are not working properly the area has become very unhygienic and smells bad residents are struggling to manage daily household activities we are not getting proper water supply for the past few days Because of this, this is affecting health and safety of the people Immediate action would be highly appreciated.",Kollam,Corporation,Kollam,8,"waste,water",67,"KL02_WAS,KL02_WAT",Forwarded,30-05-2025,03-06-2025
CMP_00013,"We are facing difficulties in our area and need help. voltage fluctuations are damaging our home appliances there are frequent power cuts happening throughout the day Due to this issue, this is affecting health and safety of the people Immediate action would be highly appreciated.",Alappuzha,Grama Panchayath,Thiruvanvandoor,14,electricity,61,KL04_ELE,Resolved,15-04-2025,30-04-2025
CMP_00014,"We are facing difficulties in our area and need help. many parts of the street are broken and causing trouble for vehicles people are finding it difficult to travel due to poor road condition Due to this issue, people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.",Palakkad,Municipality,Chittur-Thathamangalam,13,road,45,KL09_ROA,Forwarded,04-02-2026,08-02-2026
CMP_00015,I would like to report a problem that has been ongoing for some time. This has led to a situation where this is affecting health and safety of the people Please look into this matter urgently and resolve it.,Kottayam,Municipality,Ettumanoor,6,health,50,KL05_HEA,Forwarded,20-01-2026,25-01-2026
CMP_00016,"I am writing to bring attention to an issue in our locality. we are not getting proper water supply for the past few days sometimes there is no water at all during important hours Due to this issue, people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.",Kozhikode,Corporation,Kozhikode,20,water,49,KL11_WAT,Submitted,28-01-2026,28-01-2026
CMP_00017,"I would like to report a problem that has been ongoing for some time. sanitation services are not working properly garbage has not been collected for many days As a result, many families are struggling because of this situation Immediate action would be highly appreciated.",Kannur,Corporation,Kannur,10,waste,39,KL13_WAS,Submitted,10-05-2025,10-05-2025
CMP_00018,"We are facing difficulties in our area and need help. As a result, people are facing a lot of inconvenience in daily life Immediate action would be highly appreciated.",Kannur,Municipality,Payyannur,4,health,51,KL13_HEA,Resolved,20-12-2025,01-01-2026
CMP_00019,"This complaint is regarding a serious problem we are facing. As a result, this is affecting health and safety of the people Immediate action would be highly appreciated.",Kozhikode,Grama Panchayath,Thikkodi,16,health,56,KL11_HEA,Forwarded,27-03-2025,01-04-2025
CMP_00020,"I would like to report a problem that has been ongoing for some time. the area has become very unhygienic and smells bad garbage has not been collected for many days many parts of the street are broken and causing trouble for vehicles the situation has become worse especially during rainy days Due to this issue, it is becoming difficult for residents to manage routine activities I kindly request the concerned authorities to take necessary action as soon as possible.",Pathanamthitta,Municipality,Pandalam,4,"waste,road",45,"KL03_WAS,KL03_ROA",Resolved,17-09-2025,24-09-2025
CMP_00021,I am writing to bring attention to an issue in our locality. we are facing continuous outages without any notice electricity supply is very unreliable in this area This has led to a situation where many families are struggling because of this situation I kindly request the concerned authorities to take necessary action as soon as possible.,Thrissur,Grama Panchayath,Mullassery,4,electricity,52,KL08_ELE,Forwarded,15-01-2026,16-01-2026
CMP_00022,"I am writing to bring attention to an issue in our locality. Due to this issue, this is affecting health and safety of the people Please look into this matter urgently and resolve it.",Kannur,Corporation,Kannur,19,revenue,42,KL13_REV,Forwarded,19-09-2025,21-09-2025
CMP_00023,"We are facing difficulties in our area and need help. Because of this, this is affecting health and safety of the people I kindly request the concerned authorities to take necessary action as soon as possible.",Wayanad,Municipality,Sulthan Bathery,5,revenue,49,KL12_REV,Submitted,14-04-2025,14-04-2025
CMP_00024,I would like to report a problem that has been ongoing for some time. This has led to a situation where it is becoming difficult for residents to manage routine activities Please look into this matter urgently and resolve it.,Pathanamthitta,Grama Panchayath,Perinad,8,health,54,KL03_HEA,Forwarded,25-11-2025,26-11-2025
CMP_00025,"We are facing difficulties in our area and need help. voltage fluctuations are damaging our home appliances we are facing continuous outages without any notice Because of this, this is affecting health and safety of the people Immediate action would be highly appreciated.",Kottayam,Grama Panchayath,Velloor,12,electricity,69,KL05_ELE,Submitted,10-03-2025,10-03-2025
CMP_00026,"We are facing difficulties in our area and need help. we are facing continuous outages without any notice electricity supply is very unreliable in this area As a result, many families are struggling because of this situation Immediate action would be highly appreciated.",Kottayam,Grama Panchayath,Chempu,5,electricity,56,KL05_ELE,Forwarded,30-07-2025,31-07-2025
CMP_00027,"I would like to report a problem that has been ongoing for some time. water availability has reduced significantly in our locality sometimes there is no water at all during important hours Because of this, many families are struggling because of this situation Immediate action would be highly appreciated.",Ernakulam,Corporation,Kochi,8,"water,revenue",62,"KL07_WAT,KL07_REV",Forwarded,12-07-2025,17-07-2025
CMP_00028,I would like to report a problem that has been ongoing for some time. This has led to a situation where it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.,Idukki,Municipality,Kattappana,19,health,65,KL06_HEA,Forwarded,27-02-2026,03-03-2026
CMP_00029,"I would like to report a problem that has been ongoing for some time. we are not getting proper water supply for the past few days residents are struggling to manage daily household activities As a result, this is affecting health and safety of the people I kindly request the concerned authorities to take necessary action as soon as possible.",Kozhikode,Municipality,Koyilandy,20,water,65,KL11_WAT,Forwarded,30-12-2025,01-01-2026
CMP_00030,We are facing difficulties in our area and need help. we are facing continuous outages without any notice there are frequent power cuts happening throughout the day This has led to a situation where this is affecting health and safety of the people Immediate action would be highly appreciated.,Idukki,Grama Panchayath,Elappara,4,electricity,68,KL06_ELE,Forwarded,22-07-2025,24-07-2025
CMP_00031,This complaint is regarding a serious problem we are facing. the roads in our area have become extremely damaged with deep potholes many parts of the street are broken and causing trouble for vehicles voltage fluctuations are damaging our home appliances there are frequent power cuts happening throughout the day This has led to a situation where it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.,Palakkad,Municipality,Mannarkkad,16,"road,electricity",64,"KL09_ROA,KL09_ELE",Forwarded,11-10-2025,16-10-2025
CMP_00032,"I am writing to bring attention to an issue in our locality. Due to this issue, this is affecting health and safety of the people We hope this issue will be addressed at the earliest.",Pathanamthitta,Municipality,Adoor,12,"revenue,health",59,"KL03_REV,KL03_HEA",Submitted,12-02-2026,12-02-2026
CMP_00033,"I would like to report a problem that has been ongoing for some time. Due to this issue, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Kozhikode,Grama Panchayath,Velom,2,revenue,37,KL11_REV,Submitted,16-12-2025,16-12-2025
CMP_00034,"I would like to report a problem that has been ongoing for some time. Due to this issue, it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.",Pathanamthitta,Municipality,Pathanamthitta,15,revenue,62,KL03_REV,Resolved,19-03-2025,04-04-2025
CMP_00035,"I am writing to bring attention to an issue in our locality. As a result, people are facing a lot of inconvenience in daily life Please look into this matter urgently and resolve it.",Ernakulam,Grama Panchayath,Chendamangalam,1,revenue,27,KL07_REV,Forwarded,10-03-2025,13-03-2025
CMP_00036,"I am writing to bring attention to an issue in our locality. we are facing continuous outages without any notice voltage fluctuations are damaging our home appliances the roads in our area have become extremely damaged with deep potholes the situation has become worse especially during rainy days Because of this, this is affecting health and safety of the people We hope this issue will be addressed at the earliest.",Kannur,Municipality,Kuthuparamba,4,"electricity,road",59,"KL13_ELE,KL13_ROA",Resolved,28-05-2025,07-06-2025
CMP_00037,"I would like to report a problem that has been ongoing for some time. sometimes there is no water at all during important hours water availability has reduced significantly in our locality Due to this issue, this is affecting health and safety of the people We hope this issue will be addressed at the earliest.",Idukki,Grama Panchayath,Kumaramangalam,11,water,66,KL06_WAT,Submitted,20-12-2025,20-12-2025
CMP_00038,This complaint is regarding a serious problem we are facing. there are frequent power cuts happening throughout the day we are facing continuous outages without any notice This has led to a situation where it is becoming difficult for residents to manage routine activities I kindly request the concerned authorities to take necessary action as soon as possible.,Kannur,Corporation,Kannur,13,"revenue,electricity",74,"KL13_REV,KL13_ELE",Forwarded,04-11-2025,09-11-2025
CMP_00039,"We are facing difficulties in our area and need help. garbage has not been collected for many days waste is piling up near houses and roadsides Because of this, it is becoming difficult for residents to manage routine activities I kindly request the concerned authorities to take necessary action as soon as possible.",Idukki,Municipality,Thodupuzha,6,waste,43,KL06_WAS,Submitted,27-11-2025,27-11-2025
CMP_00040,We are facing difficulties in our area and need help. the area has become very unhygienic and smells bad garbage has not been collected for many days This has led to a situation where this is affecting health and safety of the people Immediate action would be highly appreciated.,Thiruvananthapuram,Corporation,Thiruvananthapuram,5,"health,waste",51,"KL01_HEA,KL01_WAS",Forwarded,30-12-2025,02-01-2026
